trans_date_trans_time,trans_num,cc_num,amt,merchant,category,is_fraud,prediction,fraud_probability,processed_at
2025-10-31 01:17:55,TRANS_0,4988344108196470,899.55,merchant_0,entertainment,0,0,0.08594279675776573,2025-10-31 01:41:48.096871
2025-10-31 01:16:55,TRANS_1,4576624241269204,498.36,merchant_1,grocery,0,0,0.10256188467788442,2025-10-31 01:41:48.096871
2025-10-31 01:15:55,TRANS_2,4990980988944995,323.55,merchant_2,food,0,0,0.08584467202452321,2025-10-31 01:41:48.096871
2025-10-31 01:14:55,TRANS_3,4458457562994879,460.6,merchant_3,grocery,0,0,0.10783266896730281,2025-10-31 01:41:48.096871
2025-10-31 01:13:55,TRANS_4,4706003757919583,884.85,merchant_4,food,0,0,0.09705385829497669,2025-10-31 01:41:48.096871
2025-10-31 01:12:55,TRANS_5,4215322713058693,136.4,merchant_5,food,0,0,0.1194298964419663,2025-10-31 01:41:48.096871
2025-10-31 01:11:55,TRANS_6,4519449099623506,352.25,merchant_6,food,0,0,0.10508306195401979,2025-10-31 01:41:48.096871
2025-10-31 01:10:55,TRANS_7,4187256353065953,898.14,merchant_7,grocery,0,0,0.12083591368281943,2025-10-31 01:41:48.096871
2025-10-31 01:09:55,TRANS_8,4246825211249878,101.73,merchant_8,travel,0,0,0.11786860811168096,2025-10-31 01:41:48.096871
2025-10-31 01:08:55,TRANS_9,4942350940463045,774.27,merchant_9,travel,0,0,0.0876707275011537,2025-10-31 01:41:48.096871
2025-10-31 01:07:55,TRANS_10,4671945370234651,759.72,merchant_10,grocery,0,0,0.0984776718649936,2025-10-31 01:41:48.096871
2025-10-31 01:06:55,TRANS_11,4730783913058557,13.31,merchant_11,shopping,0,0,0.09602949697369983,2025-10-31 01:41:48.096871
2025-10-31 01:05:55,TRANS_12,4232022225418813,627.32,merchant_12,travel,0,0,0.11860004142365055,2025-10-31 01:41:48.096871
2025-10-31 01:04:55,TRANS_13,4213114866841774,367.83,merchant_13,shopping,0,0,0.11953998663373758,2025-10-31 01:41:48.096871
2025-10-31 01:03:55,TRANS_14,4632984404060205,650.67,merchant_14,food,0,0,0.10012922822157212,2025-10-31 01:41:48.096871
2025-10-31 01:02:55,TRANS_15,4276581916623564,660.34,merchant_15,entertainment,0,0,0.11641011374057074,2025-10-31 01:41:48.096871
2025-10-31 01:01:55,TRANS_16,4444207465159447,285.64,merchant_16,grocery,0,0,0.1084841391446918,2025-10-31 01:41:48.096871
