trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
2025-10-31 01:17:55,4770123958360284,merchant_0,entertainment,21.89,first_0,last_0,M,street_0,city_0,state_0,37430,43.05112085462777,-79.72345966508374,120079,job_0,1965-09-23,TRANS_0,1761853675,33.40377756744637,-112.25518342666088,0
2025-10-31 01:16:55,4365807777463696,merchant_1,food,558.74,first_1,last_1,F,street_1,city_1,state_1,23137,43.01653478935981,-83.49151761215211,235326,job_1,1961-06-07,TRANS_1,1761853615,41.225668796949904,-117.2519414424762,0
2025-10-31 01:15:55,4009756446971736,merchant_2,shopping,243.47,first_2,last_2,F,street_2,city_2,state_2,11532,35.232854170347544,-113.14600798733262,459983,job_2,2006-05-15,TRANS_2,1761853555,28.72985507375521,-112.09373117506549,0
2025-10-31 01:14:55,4443451243282759,merchant_3,food,234.81,first_3,last_3,F,street_3,city_3,state_3,35384,26.647927318693046,-86.40889312267223,412340,job_3,1960-04-24,TRANS_3,1761853495,37.32853876660603,-119.49844475857981,0
2025-10-31 01:13:55,4349356433800155,merchant_4,grocery,844.04,first_4,last_4,M,street_4,city_4,state_4,84404,29.393634715503314,-95.35805573065423,309181,job_4,1955-10-11,TRANS_4,1761853435,35.56724397393643,-97.27089180654072,1
2025-10-31 01:12:55,4191244426409195,merchant_5,food,410.46,first_5,last_5,M,street_5,city_5,state_5,68682,45.8342100044018,-104.40362036371448,895408,job_5,2003-05-29,TRANS_5,1761853375,49.39846559751205,-103.5097240353,0
2025-10-31 01:11:55,4967356525239942,merchant_6,entertainment,672.7,first_6,last_6,M,street_6,city_6,state_6,23524,25.605846642510762,-109.78346926258101,329949,job_6,1994-09-24,TRANS_6,1761853315,26.3654371397305,-100.0631739973032,0
2025-10-31 01:10:55,4110767036579291,merchant_7,food,385.44,first_7,last_7,F,street_7,city_7,state_7,85893,25.879524592747543,-100.17073057180909,620366,job_7,1969-01-27,TRANS_7,1761853255,29.342095373248313,-95.35867602694402,0
2025-10-31 01:09:55,4006964585053111,merchant_8,food,55.41,first_8,last_8,M,street_8,city_8,state_8,81567,32.853372679622034,-83.5396133320337,577794,job_8,1973-06-13,TRANS_8,1761853195,25.394916845854034,-118.19585713199922,0
2025-10-31 01:08:55,4803862280262722,merchant_9,shopping,39.86,first_9,last_9,M,street_9,city_9,state_9,92790,30.618631400753536,-109.4016196182003,543598,job_9,1969-02-26,TRANS_9,1761853135,36.479221535166175,-112.28784629459108,0
2025-10-31 01:07:55,4238950822137739,merchant_10,travel,937.27,first_10,last_10,M,street_10,city_10,state_10,38442,45.95618317380447,-99.39846311831431,975732,job_10,1969-05-14,TRANS_10,1761853075,27.472137210905768,-104.2049607585979,0
2025-10-31 01:06:55,4789297744642205,merchant_11,shopping,799.08,first_11,last_11,F,street_11,city_11,state_11,90735,31.846709112473643,-109.6958715656723,219717,job_11,1973-04-02,TRANS_11,1761853015,41.17109748830956,-103.37590236561006,0
2025-10-31 01:05:55,4126034551099597,merchant_12,grocery,291.86,first_12,last_12,F,street_12,city_12,state_12,86038,41.828831464688264,-109.52938749746009,236446,job_12,2004-10-31,TRANS_12,1761852955,49.859367749638324,-108.98207297775377,0
2025-10-31 01:04:55,4465139100459686,merchant_13,entertainment,467.14,first_13,last_13,F,street_13,city_13,state_13,71814,48.27877057309013,-90.15373463315323,714165,job_13,1961-08-12,TRANS_13,1761852895,29.24749210992455,-76.23264358519549,0
